seed,aoi_mean_ms,aoi_std_ms,viol_mean_pct,sla_met
42,149.8224,8.5968,97.6250,0
123,191.2203,9.9146,96.3514,0
256,156.5720,7.7883,96.9597,0
777,97.2046,29.3810,38.6583,0
999,1.1047,0.0924,0.0375,1
1318,38.0390,48.8279,19.5528,0
2461,26.0747,16.9192,67.2361,0
5847,13.7264,15.4965,54.4306,0
7632,1.2059,0.2223,1.1500,1
9234,116.8335,15.0409,85.0083,0
14728,463.1052,4.6734,97.5222,0
18043,1.1085,0.0574,0.0083,1
24571,158.7902,8.2233,96.1236,0
27093,100.9987,75.8084,32.3944,0
31896,156.0940,7.4914,96.2542,0
35624,81.1159,4.2416,93.8042,0
41892,759.3032,6.4026,96.4750,0
47213,126.9101,12.4666,96.4819,0
52768,1.1076,0.0893,0.0000,1
56237,21.6501,36.8934,13.3736,0
61204,94.0492,5.8355,67.3625,0
63415,157.1576,8.8371,83.5000,0
68945,131.5496,61.7755,69.2986,0
71286,1.1437,0.0795,0.0681,1
73512,1.1479,0.2038,0.0653,1
81007,118.2363,69.0298,72.0569,0
84529,83.5628,40.3044,73.6764,0
89346,158.6414,16.2209,97.6250,0
92708,33.3878,35.2809,45.9139,0
99151,112.4315,39.8163,62.7514,0
